NEIGHBORHOOD,PLAN_DISTRICT,Latitude,Longitude
Bayview, South Bayshore,37.71938324,-122.3849335
Bernal Heights, Bernal Heights,37.73731613,-122.4094009
Bernal Heights, Central,37.74398422,-122.4240189
Bernal Heights, South Central,37.7336998,-122.4281235
Castro/Upper Market, Buena Vista,37.76750946,-122.4294357
Castro/Upper Market, Central,37.76453781,-122.4312134
Chinatown, Northeast,37.79178238,-122.4089127
Crocker Amazon, South Central,37.7156601,-122.4401093
Downtown/Civic Center, Downtown,37.77730179,-122.4182968
Downtown/Civic Center, Buena Vista,37.77521515,-122.4196091
Downtown/Civic Center, Western Addition,37.78305054,-122.4216461
Excelsior, South Central,37.7143364,-122.4358292
Financial District, South of Market,37.78789902,-122.3945923
Financial District, Downtown,37.78822327,-122.3970184
Financial District, Northeast,37.7957077,-122.4031372
Glen Park, Central,37.73908615,-122.4330826
Haight Ashbury, Central,37.7612915,-122.4515533
Haight Ashbury, Western Addition,37.77509308,-122.4466629
Haight Ashbury, Buena Vista,37.76774597,-122.4500122
Inner Richmond, Western Addition,37.77909851,-122.4514465
Inner Richmond, Richmond,37.78110504,-122.4775925
Inner Sunset, Inner Sunset,37.75894165,-122.4607849
Lakeshore, Ingleside,37.72050476,-122.4838715
Lakeshore, Inner Sunset,37.7355957,-122.4717026
Marina, Marina,37.79909515,-122.4396133
Mission, Mission,37.76558304,-122.4191208
Nob Hill, Northeast,37.79441071,-122.4217911
Noe Valley, Central,37.74877167,-122.4335556
North Beach, Northeast,37.80003738,-122.3987503
Ocean View, South Central,37.70879745,-122.4588547
Ocean View, Ingleside,37.71355438,-122.4593048
Outer Mission, Ingleside,37.73425293,-122.44133
Outer Mission, South Central,37.70943069,-122.4531326
Outer Richmond, Richmond,37.77212143,-122.4972839
Outer Sunset, Outer Sunset,37.75662231,-122.5016556
Pacific Heights, Marina,37.78965759,-122.4444427
Pacific Heights, Richmond,37.79062653,-122.4472122
Parkside, Inner Sunset,37.74077606,-122.4719696
Parkside, Outer Sunset,37.74201202,-122.5049057
Potrero Hill, South Bayshore,37.75045395,-122.3890228
Potrero Hill, South of Market,37.76351166,-122.3833237
Presidio Heights, Richmond,37.78653336,-122.4577789
Russian Hill, Northeast,37.80601883,-122.4201584
Seacliff, Richmond,37.7872963,-122.4926453
South of Market, Downtown,37.78215408,-122.406601
South of Market, Mission,37.76940537,-122.4093552
South of Market, South of Market,37.76932144,-122.388855
Twin Peaks, Central,37.75549316,-122.442421
Twin Peaks, Inner Sunset,37.74983978,-122.4507217
Visitacion Valley, South Bayshore,37.71051025,-122.3982544
Visitacion Valley, South Central,37.70939255,-122.4142075
West of Twin Peaks, Ingleside,37.72534561,-122.460144
West of Twin Peaks, Inner Sunset,37.74400711,-122.4592896
Western Addition, Richmond,37.78507996,-122.4455261
Western Addition, Buena Vista,37.77163315,-122.432312
Western Addition, Western Addition,37.7774353,-122.4379654
